cycle,S,density
0,0.028,0.095
10,0.008,0.731
20,0.011,1.068
30,0.007,1.290
40,0.006,1.458
50,0.010,1.581
60,0.007,1.683
70,0.006,1.772
80,0.002,1.844
90,0.014,1.906
100,0.013,1.963
110,0.007,2.019
120,0.010,2.063
130,0.014,2.107
140,0.012,2.150
150,0.012,2.185
160,0.016,2.222
170,0.016,2.254
180,0.010,2.284
190,0.010,2.311
200,0.006,2.339
210,0.008,2.364
220,0.007,2.390
230,0.006,2.414
240,0.007,2.438
250,0.005,2.460
260,0.003,2.481
270,0.003,2.497
280,0.002,2.518
290,0.005,2.534
300,0.004,2.552
310,0.006,2.569
320,0.008,2.585
330,0.008,2.602
340,0.008,2.615
350,0.014,2.630
360,0.013,2.644
370,0.013,2.657
380,0.010,2.671
390,0.012,2.682
400,0.010,2.695
410,0.014,2.707
420,0.014,2.720
430,0.014,2.732
440,0.014,2.744
450,0.012,2.756
460,0.014,2.767
470,0.013,2.777
480,0.009,2.788
490,0.012,2.799
500,0.011,2.809
510,0.009,2.819
520,0.008,2.828
530,0.012,2.838
540,0.009,2.847
550,0.007,2.857
560,0.012,2.866
570,0.011,2.873
580,0.012,2.880
590,0.013,2.888
600,0.013,2.897
610,0.012,2.905
620,0.011,2.914
630,0.013,2.925
640,0.010,2.933
650,0.010,2.943
660,0.010,2.949
670,0.013,2.956
680,0.012,2.962
690,0.012,2.969
700,0.012,2.975
710,0.011,2.981
720,0.008,2.988
730,0.010,2.994
740,0.011,2.999
750,0.012,3.006
760,0.012,3.013
770,0.014,3.021
780,0.015,3.027
790,0.013,3.031
800,0.014,3.039
810,0.011,3.043
820,0.011,3.049
830,0.012,3.056
840,0.013,3.061
850,0.014,3.065
860,0.016,3.071
870,0.015,3.078
880,0.016,3.084
890,0.016,3.089
900,0.013,3.096
910,0.012,3.103
920,0.014,3.109
930,0.015,3.115
940,0.015,3.121
950,0.015,3.127
960,0.015,3.131
970,0.018,3.136
980,0.016,3.140
990,0.016,3.145
1000,0.014,3.149
1010,0.012,3.153
1020,0.015,3.159
1030,0.014,3.164
1040,0.013,3.170
1050,0.012,3.176
1060,0.011,3.179
1070,0.011,3.184
1080,0.012,3.188
1090,0.011,3.192
1100,0.011,3.195
1110,0.012,3.199
1120,0.010,3.203
1130,0.009,3.208
1140,0.010,3.213
1150,0.010,3.216
1160,0.007,3.220
1170,0.009,3.225
1180,0.012,3.230
1190,0.014,3.235
1200,0.014,3.239
1210,0.011,3.243
1220,0.011,3.247
1230,0.009,3.249
1240,0.011,3.252
1250,0.010,3.256
1260,0.010,3.259
1270,0.009,3.262
1280,0.011,3.266
1290,0.011,3.270
1300,0.011,3.274
1310,0.012,3.278
1320,0.013,3.281
1330,0.013,3.283
1340,0.015,3.287
1350,0.015,3.292
1360,0.013,3.295
1370,0.012,3.298
1380,0.013,3.301
1390,0.013,3.305
1400,0.013,3.309
1410,0.012,3.313
1420,0.012,3.316
1430,0.011,3.319
1440,0.013,3.322
1450,0.012,3.326
1460,0.014,3.330
1470,0.012,3.333
1480,0.014,3.336
1490,0.013,3.340
1500,0.014,3.343
1510,0.013,3.347
1520,0.011,3.350
1530,0.011,3.354
1540,0.014,3.357
1550,0.014,3.361
1560,0.013,3.364
1570,0.013,3.368
1580,0.010,3.370
1590,0.012,3.372
1600,0.011,3.376
1610,0.012,3.377
1620,0.014,3.380
1630,0.014,3.383
1640,0.013,3.385
1650,0.012,3.387
1660,0.011,3.390
1670,0.012,3.394
1680,0.013,3.396
1690,0.012,3.397
1700,0.014,3.400
1710,0.012,3.402
1720,0.010,3.404
1730,0.011,3.405
1740,0.012,3.407
1750,0.011,3.412
1760,0.010,3.414
1770,0.011,3.416
1780,0.010,3.418
1790,0.010,3.420
1800,0.010,3.423
1810,0.011,3.424
1820,0.012,3.426
1830,0.012,3.428
1840,0.012,3.432
1850,0.010,3.434
1860,0.011,3.435
1870,0.012,3.438
1880,0.011,3.441
1890,0.010,3.443
1900,0.012,3.446
1910,0.012,3.448
1920,0.011,3.450
1930,0.012,3.452
1940,0.012,3.454
1950,0.012,3.457
1960,0.013,3.459
1970,0.013,3.460
1980,0.013,3.462
1990,0.013,3.463
2000,0.015,3.465
2010,0.015,3.466
2020,0.016,3.468
2030,0.015,3.472
2040,0.015,3.473
2050,0.015,3.475
2060,0.014,3.476
2070,0.014,3.478
2080,0.013,3.480
2090,0.015,3.482
2100,0.015,3.483
2110,0.016,3.485
2120,0.015,3.487
2130,0.017,3.489
2140,0.017,3.491
2150,0.017,3.493
2160,0.017,3.494
2170,0.016,3.496
2180,0.015,3.498
2190,0.015,3.500
2200,0.014,3.501
2210,0.016,3.504
2220,0.017,3.507
2230,0.016,3.508
2240,0.017,3.509
2250,0.017,3.511
2260,0.015,3.515
2270,0.015,3.516
2280,0.016,3.518
2290,0.018,3.519
2300,0.017,3.521
2310,0.017,3.522
2320,0.018,3.524
2330,0.019,3.526
2340,0.019,3.527
2350,0.017,3.529
2360,0.017,3.531
2370,0.018,3.534
2380,0.019,3.536
2390,0.020,3.538
2400,0.019,3.540
2410,0.020,3.542
2420,0.020,3.542
2430,0.021,3.544
2440,0.023,3.547
2450,0.022,3.549
2460,0.023,3.552
2470,0.020,3.554
2480,0.022,3.556
2490,0.022,3.558
2500,0.020,3.560
2510,0.019,3.561
2520,0.018,3.564
2530,0.018,3.565
2540,0.018,3.567
2550,0.019,3.569
2560,0.018,3.571
2570,0.017,3.572
2580,0.018,3.573
2590,0.017,3.575
2600,0.017,3.576
2610,0.015,3.578
2620,0.016,3.579
2630,0.016,3.580
2640,0.015,3.582
2650,0.015,3.583
2660,0.015,3.585
2670,0.015,3.587
2680,0.016,3.589
2690,0.017,3.591
2700,0.016,3.592
2710,0.015,3.594
2720,0.015,3.596
2730,0.015,3.597
2740,0.015,3.598
2750,0.014,3.600
2760,0.015,3.602
2770,0.014,3.605
2780,0.015,3.605
2790,0.013,3.606
2800,0.013,3.608
2810,0.013,3.609
2820,0.013,3.610
2830,0.012,3.611
2840,0.013,3.612
2850,0.014,3.614
2860,0.014,3.615
2870,0.013,3.616
2880,0.015,3.617
2890,0.015,3.619
2900,0.014,3.621
2910,0.015,3.623
2920,0.014,3.625
2930,0.015,3.626
2940,0.015,3.627
2950,0.014,3.628
2960,0.015,3.631
2970,0.015,3.632
2980,0.016,3.633
2990,0.017,3.634
3000,0.016,3.636
3010,0.015,3.638
3020,0.016,3.638
3030,0.015,3.639
3040,0.015,3.640
3050,0.015,3.641
3060,0.014,3.643
3070,0.014,3.643
3080,0.015,3.645
3090,0.015,3.646
3100,0.015,3.647
3110,0.017,3.648
3120,0.017,3.649
3130,0.016,3.650
3140,0.015,3.651
3150,0.016,3.652
3160,0.016,3.654
3170,0.015,3.654
3180,0.015,3.656
3190,0.014,3.656
3200,0.016,3.657
3210,0.014,3.658
3220,0.015,3.660
3230,0.015,3.661
3240,0.016,3.662
3250,0.015,3.662
3260,0.014,3.663
3270,0.016,3.665
3280,0.017,3.667
3290,0.016,3.669
3300,0.015,3.670
3310,0.016,3.671
3320,0.016,3.672
3330,0.015,3.673
3340,0.014,3.674
3350,0.014,3.675
3360,0.015,3.676
3370,0.014,3.677
3380,0.016,3.679
3390,0.016,3.679
3400,0.015,3.681
3410,0.015,3.681
3420,0.015,3.683
3430,0.014,3.684
3440,0.015,3.685
3450,0.015,3.686
3460,0.016,3.688
3470,0.016,3.688
3480,0.015,3.689
3490,0.016,3.691
3500,0.016,3.693
3510,0.015,3.693
3520,0.015,3.694
3530,0.016,3.696
3540,0.015,3.696
3550,0.014,3.697
3560,0.014,3.699
3570,0.015,3.699
3580,0.015,3.699
3590,0.016,3.699
3600,0.016,3.700
3610,0.016,3.701
3620,0.017,3.702
3630,0.015,3.703
3640,0.015,3.704
3650,0.015,3.705
3660,0.013,3.706
3670,0.012,3.707
3680,0.013,3.706
3690,0.012,3.707
3700,0.013,3.708
3710,0.013,3.708
3720,0.014,3.708
3730,0.014,3.709
3740,0.013,3.710
3750,0.013,3.711
3760,0.014,3.712
3770,0.014,3.713
3780,0.015,3.714
3790,0.015,3.716
3800,0.015,3.716
3810,0.016,3.717
3820,0.016,3.718
3830,0.016,3.719
3840,0.016,3.720
3850,0.016,3.720
3860,0.017,3.721
3870,0.015,3.722
3880,0.014,3.723
3890,0.014,3.724
3900,0.014,3.725
3910,0.013,3.727
3920,0.013,3.727
3930,0.014,3.728
3940,0.015,3.729
3950,0.016,3.730
3960,0.015,3.731
3970,0.015,3.731
3980,0.016,3.732
3990,0.015,3.733
4000,0.014,3.734
4010,0.015,3.734
4020,0.014,3.736
4030,0.013,3.736
4040,0.013,3.737
4050,0.013,3.738
4060,0.012,3.739
4070,0.012,3.739
4080,0.012,3.740
4090,0.011,3.741
4100,0.010,3.742
4110,0.010,3.742
4120,0.011,3.742
4130,0.011,3.744
4140,0.011,3.745
4150,0.011,3.746
4160,0.012,3.747
4170,0.011,3.748
4180,0.011,3.748
4190,0.010,3.750
4200,0.010,3.751
4210,0.009,3.751
4220,0.011,3.752
4230,0.011,3.753
4240,0.011,3.753
4250,0.011,3.754
4260,0.011,3.754
4270,0.011,3.756
4280,0.010,3.756
4290,0.010,3.758
4300,0.009,3.759
4310,0.009,3.759
4320,0.009,3.759
4330,0.009,3.759
4340,0.010,3.760
4350,0.009,3.761
4360,0.009,3.762
4370,0.010,3.763
4380,0.009,3.763
4390,0.010,3.764
4400,0.008,3.765
4410,0.008,3.766
4420,0.008,3.767
4430,0.007,3.768
4440,0.006,3.768
4450,0.006,3.769
4460,0.006,3.770
4470,0.006,3.771
4480,0.007,3.771
4490,0.006,3.771
4500,0.007,3.772
4510,0.008,3.773
4520,0.008,3.774
4530,0.008,3.774
4540,0.006,3.775
4550,0.006,3.776
4560,0.008,3.777
4570,0.008,3.776
4580,0.009,3.777
4590,0.009,3.778
4600,0.009,3.779
4610,0.008,3.779
4620,0.009,3.780
4630,0.010,3.781
4640,0.011,3.781
4650,0.010,3.783
4660,0.010,3.784
4670,0.010,3.785
4680,0.011,3.785
4690,0.011,3.785
4700,0.009,3.785
4710,0.011,3.785
4720,0.010,3.786
4730,0.009,3.786
4740,0.011,3.787
4750,0.011,3.786
4760,0.011,3.786
4770,0.010,3.787
4780,0.010,3.788
4790,0.012,3.789
4800,0.010,3.789
4810,0.010,3.790
4820,0.011,3.791
4830,0.011,3.793
4840,0.010,3.793
4850,0.010,3.793
4860,0.010,3.794
4870,0.009,3.795
4880,0.009,3.795
4890,0.009,3.794
4900,0.009,3.795
4910,0.009,3.795
4920,0.009,3.795
4930,0.009,3.796
4940,0.009,3.796
4950,0.009,3.797
4960,0.009,3.797
4970,0.009,3.797
4980,0.009,3.797
4990,0.009,3.799
5000,0.008,3.800
5010,0.009,3.801
5020,0.010,3.803
5030,0.009,3.803
5040,0.009,3.804
5050,0.009,3.805
5060,0.010,3.806
5070,0.010,3.807
5080,0.010,3.809
5090,0.010,3.809
5100,0.011,3.810
5110,0.010,3.810
5120,0.012,3.811
5130,0.011,3.813
5140,0.011,3.813
5150,0.011,3.814
5160,0.011,3.813
5170,0.011,3.814
5180,0.010,3.815
5190,0.010,3.816
5200,0.010,3.816
5210,0.009,3.817
5220,0.009,3.817
5230,0.009,3.817
5240,0.009,3.818
5250,0.008,3.819
5260,0.009,3.819
5270,0.009,3.819
5280,0.007,3.819
5290,0.007,3.819
5300,0.007,3.820
5310,0.007,3.819
5320,0.006,3.821
5330,0.007,3.821
5340,0.008,3.822
5350,0.008,3.822
5360,0.007,3.823
5370,0.007,3.824
5380,0.007,3.824
5390,0.007,3.824
5400,0.008,3.825
5410,0.008,3.825
5420,0.008,3.825
5430,0.008,3.826
5440,0.007,3.826
5450,0.006,3.826
5460,0.006,3.826
5470,0.006,3.828
5480,0.007,3.828
5490,0.007,3.828
5500,0.008,3.828
5510,0.008,3.828
5520,0.007,3.829
5530,0.006,3.830
5540,0.008,3.831
5550,0.008,3.831
5560,0.008,3.831
5570,0.008,3.831
5580,0.008,3.832
5590,0.008,3.832
5600,0.008,3.832
5610,0.007,3.833
5620,0.006,3.835
5630,0.008,3.835
5640,0.007,3.835
5650,0.007,3.836
5660,0.008,3.836
5670,0.007,3.837
5680,0.007,3.838
5690,0.006,3.838
5700,0.006,3.839
5710,0.005,3.839
5720,0.007,3.841
5730,0.006,3.841
5740,0.007,3.842
5750,0.005,3.841
5760,0.007,3.843
5770,0.008,3.843
5780,0.007,3.844
5790,0.007,3.845
5800,0.006,3.845
